trade_date,close,gk_rv,log_rv,rq,log_rq,signed_jump,vol_lag5,vol_lag22,ret_lag5,ret_lag22,abs_ret_lag1,regime_prob,regime_lag5,vol_x_regime
20210924,4.931,6.625161062866033e-05,-9.622050782017455,4.814101138837002e-09,-19.151716488492347,0.009291728770853602,-9.732449710658024,-9.45089100324975,-0.002835157832686397,0.0052867142246626475,0.005906932339733606,0.36144081549832774,0.8001195053799155,-3.4778018814187113
20210927,4.963,0.00011542964260111313,-9.066849368581412,1.799146514791946e-09,-20.135953442941876,0.009115389982220376,-9.611659388701081,-9.420791865523128,0.015022613008795371,0.0012096775668670734,0.001420598919781968,0.3323654189375001,0.6681874176713257,-3.013507188831769
20210928,4.954,5.941751206142256e-05,-9.730921559196464,1.0042363506419295e-09,-20.71903843437532,-0.009101989416047639,-9.629678311936301,-9.380297442326663,0.005262104835949133,-0.0034256960453677987,0.006468589363314736,0.2498001923271274,0.5572592957887813,-2.4307860770074674
20210929,4.921,0.00010438871414101738,-9.167388990456724,9.957184362717386e-10,-20.727556592815862,-0.008409737159799627,-9.503809969978152,-9.376250791439945,0.005297485901367693,0.007137789048292431,0.0018150655381361513,0.18732739727829,0.45860340315692616,-1.7173031194199087
20210930,4.935,1.8716542507906218e-05,-10.886102799063547,7.652576844961891e-10,-20.990808496342027,0.008412255539400646,-9.694662699863121,-9.447348921381673,0.0022314645632377506,0.007321570229007257,0.0066835691833264654,0.0526649793309974,0.39322600722721307,-0.5733163789077946
20211008,5.006,2.6676033124959637e-05,-10.531745031443611,9.091520827904702e-09,-18.515923634951115,0.00886393466746328,-9.87660154974835,-9.490197749541077,0.015095385767593283,0.025287076104572037,0.002840911001603663,0.04171842289383557,0.36144081549832774,-0.4393677930318162
20211011,5.005,6.753306994611396e-05,-9.602893154932307,8.741359702292328e-09,-18.55520008703443,-0.008862288087027066,-9.983810307018532,-9.529552119384531,0.008427016161880019,0.025497131933483796,0.0142845201241375,0.04907637429324311,0.3323654189375001,-0.4712751787694801
20211012,4.953,0.00012903537951136558,-8.955423931426912,1.111871610592529e-08,-18.314636012890016,-0.008687738053534138,-9.828710781464618,-9.57834275692872,-0.00020187746106703486,0.0008079176363517959,0.00019978024239852843,0.05589205312294973,0.2498001923271274,-0.5005370301138483
20211013,5.009,7.14723839410402e-05,-9.546199421460498,1.3915098843330385e-08,-18.090291338628326,0.009006012602768435,-9.904472867665374,-9.55586297766467,0.017724532491638634,0.012859329300804356,0.010443959161083205,0.04809073965426423,0.18732739727829,-0.4590837910651446
20211014,4.982,5.8159664544120365e-05,-9.752318492566504,1.4072747742452592e-08,-18.07902569402317,-0.009003777361790703,-9.677716006365966,-9.558924453831281,0.009478743954543845,0.012929473045987905,0.011242840769379203,0.038376456652456474,0.0526649793309974,-0.3742594278909281
20211015,5.006,5.3983095067641484e-05,-9.826839614714663,5.85235033419005e-09,-18.956422489860994,0.008298792086662132,-9.536734923020177,-9.58705620728328,0.0,0.0007993605541551929,0.005404877535491126,0.031489326068789056,0.04171842289383557,-0.30944055685344346
20211018,4.948,0.0001101923590350145,-9.11328300089972,9.54120062210257e-09,-18.4676465080314,-0.00816678218074465,-9.438812892213658,-9.599408907393945,-0.011453958236942396,-0.02337068317040525,0.004805776169593656,0.02798885419181281,0.04907637429324311,-0.25507034912090853
