ts_code,trade_date,name,close,pct_change,vol,amount,pe,pb,total_mv
801962.SI,20031208,油服工程,1145.15,-0.17,383.0,3092.0,60.75,3.04,2076124.0
801960.SI,20031208,石油石化,1366.03,0.44,15203.0,73299.0,30.87,2.65,38211567.0
801952.SI,20031208,焦炭Ⅱ,1157.19,0.38,448.0,4446.0,31.04,3.34,759147.0
801951.SI,20031208,煤炭开采,880.1,0.62,3528.0,27848.0,32.16,2.53,6294984.0
801950.SI,20031208,煤炭,913.78,0.58,3976.0,32295.0,31.98,2.62,7054130.0
801783.SI,20031208,股份制银行Ⅱ,686.27,-1.03,7429.0,67765.0,27.76,3.47,16665987.0
801769.SI,20031208,出版,849.52,-0.4,1730.0,11447.0,51.58,2.67,1447967.0
801767.SI,20031208,数字媒体,769.54,-1.64,595.0,3355.0,117.86,3.07,597992.0
801766.SI,20031208,影视院线,733.84,-1.42,396.0,2770.0,47.83,2.29,885470.0
801765.SI,20031208,广告营销,1522.41,-0.18,799.0,7250.0,82.16,4.01,1481403.0
801764.SI,20031208,游戏Ⅱ,906.1,-1.25,496.0,3109.0,45.42,3.54,881481.0
801745.SI,20031208,军工电子Ⅱ,551.81,-1.89,260.0,1837.0,84.98,1.73,556236.0
801738.SI,20031208,电网设备,557.1,0.45,2852.0,19284.0,42.07,3.23,3569823.0
801737.SI,20031208,电池,912.25,-1.57,550.0,2977.0,67.81,2.58,1331652.0
801736.SI,20031208,风电设备,623.98,-0.44,128.0,1106.0,45.41,2.67,257692.0
801735.SI,20031208,光伏设备,874.2,-2.14,529.0,4255.0,29.0,2.22,1015276.0
801726.SI,20031208,工程咨询服务Ⅱ,859.63,0.64,536.0,2003.0,138.91,1.46,167424.0
801219.SI,20031208,酒店餐饮,811.37,-1.68,603.0,4556.0,145.18,2.68,919398.0
801218.SI,20031208,专业服务,479.81,-2.17,68.0,339.0,42.68,1.67,139092.0
801183.SI,20031208,房地产服务,1051.72,-0.48,159.0,969.0,28.81,7.06,396087.0
801179.SI,20031208,铁路公路,1032.03,-1.14,3539.0,22440.0,28.87,2.13,14062675.0
801133.SI,20031208,饰品,1400.47,-1.33,264.0,2043.0,140.04,4.63,989564.0
