trade_date,ts_code,sector,total_mv,pb,momentum_20d
20190104,601669.SH,建筑装饰,7649517.5120,0.9841,0.0460
20190104,601727.SH,电气设备,7509845.6041,1.3204,0.0000
20190104,601886.SH,建筑装饰,841302.4500,1.2118,0.0224
20190104,601998.SH,银行,26620529.3357,0.6840,-0.0439
20190104,603015.SH,机械设备,251649.6000,2.0867,-0.0565
20190104,603081.SH,机械设备,501848.2000,3.0611,-0.0602
20190104,603100.SH,机械设备,316790.0000,1.5195,-0.0464
20190104,603131.SH,机械设备,358738.4693,3.1030,0.0856
20190104,603283.SH,机械设备,278000.7412,3.9248,-0.0431
20190104,603322.SH,通信,344960.0000,7.0121,0.2505
20190104,603360.SH,化工,230358.1840,3.0201,-0.0757
20190104,603458.SH,建筑装饰,391890.4680,1.8479,-0.0202
20190104,603528.SH,计算机,411371.0400,2.8520,0.0396
20190104,603585.SH,化工,380880.0000,2.2753,-0.0391
20190104,603596.SH,汽车,827336.0250,4.3732,-0.0334
20190104,603612.SH,化工,405224.7205,1.6910,-0.0317
20190104,603629.SH,电子,340400.0000,3.6911,
20190104,603668.SH,农林牧渔,220330.3635,2.4613,-0.0342
20190104,603688.SH,化工,366978.7008,2.6829,0.0392
20190104,603722.SH,化工,187532.1000,3.6247,-0.1278
20190104,603738.SH,电子,210470.2530,3.4819,-0.0134
20190104,603787.SH,汽车,192372.0000,2.0430,-0.0417
20190104,603859.SH,计算机,216899.6000,3.2031,0.0611
20190104,603887.SH,计算机,203033.6000,2.4567,-0.0779
20190104,603922.SH,汽车,197888.0000,1.7515,-0.1444
20190104,603977.SH,化工,274646.2540,1.4986,-0.1034
20190104,603985.SH,电气设备,215280.0000,2.0123,0.0093
20190107,600099.SH,汽车,132129.3600,2.8064,-0.0622
20190107,600110.SH,电气设备,481980.7686,2.3132,-0.0323
20190107,600114.SH,机械设备,419604.8227,1.5901,-0.0539
20190107,600148.SH,汽车,221190.2114,5.4282,0.0064
20190107,600150.SH,国防军工,1908692.8732,1.2794,0.0461
20190107,600166.SH,汽车,1207293.7635,0.7103,0.0056
20190107,600170.SH,建筑装饰,2804885.2843,1.1882,0.0606
20190107,600172.SH,机械设备,494566.5256,1.0138,-0.1114
20190107,600182.SH,汽车,535500.0000,5.9515,-0.0631
20190107,600186.SH,食品饮料,209218.7893,,-0.0437
20190107,600198.SH,通信,606890.6287,,0.0361
20190107,600218.SH,汽车,176264.8900,0.9120,-0.0516
20190107,600262.SH,机械设备,316200.0000,2.8443,0.0153
20190107,600271.SH,计算机,4633937.1210,4.6690,0.0855
20190107,600302.SH,机械设备,157434.4608,1.3372,0.0508
20190107,600303.SH,汽车,276997.7265,0.9322,-0.0766
20190107,600325.SH,房地产,1338546.3693,1.0782,0.0344
20190107,600326.SH,建筑材料,600576.8499,2.0144,-0.0086
20190107,600343.SH,机械设备,580767.7767,2.6470,0.0681
20190107,600382.SH,钢铁,371125.6699,0.6914,-0.0820
20190107,600419.SH,食品饮料,284782.3248,3.1249,-0.0283
20190107,600421.SH,机械设备,143766.0000,1125.3205,-0.0081
20190107,600435.SH,国防军工,1258475.4000,6.0407,0.0875
20190107,600444.SH,机械设备,143932.7592,2.6459,-0.0111
20190107,600480.SH,汽车,381804.5405,0.9726,-0.0012
20190107,600482.SH,电气设备,3758620.3807,1.4510,-0.0223
20190107,600502.SH,建筑装饰,641992.7815,0.9741,-0.0261
20190107,600512.SH,建筑装饰,359753.1372,0.8475,-0.0343
20190107,600517.SH,非银金融,530261.6188,1.6294,0.0712
20190107,600520.SH,机械设备,210870.3300,4.9321,-0.1055
20190107,600530.SH,食品饮料,357240.0000,2.3684,-0.0949
20190107,600536.SH,计算机,1104853.2550,5.9893,-0.1135
20190107,600538.SH,医药生物,196441.7013,3.0065,0.0024
20190107,600545.SH,机械设备,1412082.6813,5.0776,-0.0093
20190107,600558.SH,机械设备,308776.0619,1.6028,-0.0199
20190107,600560.SH,机械设备,193006.0665,2.5618,0.0910
20190107,600562.SH,国防军工,890583.8789,5.0382,0.0200
20190107,600590.SH,国防军工,523244.4655,1.3670,0.0360
20190107,600592.SH,机械设备,246124.9997,1.3460,0.0621
20190107,600610.SH,化工,224967.6671,168.9549,0.2139
20190107,600667.SH,建筑装饰,1139448.8863,1.8289,-0.0672
20190107,600679.SH,汽车,426733.0828,3.1583,-0.0544
20190107,600699.SH,汽车,2112168.0250,1.4725,-0.0326
20190107,600728.SH,计算机,1152578.4259,3.4997,-0.0883
20190107,600743.SH,房地产,598255.7229,0.8108,0.0119
20190107,600756.SH,计算机,510131.4372,2.3013,-0.0338
20190107,600815.SH,机械设备,297280.6966,6.7635,-0.0343
20190107,600820.SH,建筑装饰,2128553.0556,1.0688,0.1612
20190107,600841.SH,汽车,592815.8437,1.6002,-0.0794
20190107,600845.SH,计算机,2024826.6009,3.1368,0.0846
20190107,600873.SH,化工,1324082.5662,1.4997,0.0191
20190107,600877.SH,电子,323709.8408,,0.0584
20190107,600883.SH,农林牧渔,149679.7920,2.2617,-0.0565
20190107,600893.SH,国防军工,5163393.0128,1.9768,-0.0296
20190107,600903.SH,公用事业,1682887.8614,7.2493,-0.1389
20190107,600929.SH,化工,763568.9551,3.2547,-0.0036
20190107,600960.SH,汽车,345987.6486,0.6779,-0.1250
20190107,600990.SH,国防军工,585142.4084,2.7501,0.0003
20190107,601058.SH,汽车,634843.2699,0.9841,-0.0208
20190107,601068.SH,建筑装饰,1618609.4668,1.9146,-0.0180
20190107,601186.SH,建筑装饰,15168347.8555,1.0527,0.0145
20190107,601326.SH,交通运输,1782384.4280,1.2666,-0.0154
20190107,601500.SH,汽车,486308.8679,1.8442,-0.0656
20190107,601519.SH,计算机,701658.1000,5.2227,-0.0249
20190107,601633.SH,汽车,5239052.4060,1.0211,-0.0497
20190107,601668.SH,建筑装饰,24099490.1372,1.1231,-0.0238
20190107,601669.SH,建筑装饰,7787208.8272,1.0018,0.0830
20190107,601727.SH,电气设备,7598196.7288,1.3359,0.0238
20190107,601886.SH,建筑装饰,844764.6000,1.2168,0.0339
20190107,601998.SH,银行,26522659.7426,0.6815,-0.0356
20190107,603015.SH,机械设备,256536.0000,2.1272,-0.0323
20190107,603081.SH,机械设备,536804.8000,3.2743,0.0520
20190107,603100.SH,机械设备,322320.0000,1.5460,-0.0097
20190107,603131.SH,机械设备,358517.4351,3.1011,0.0749
20190107,603283.SH,机械设备,282720.8943,3.9915,-0.0334
20190107,603322.SH,通信,344960.0000,7.0121,0.3062
20190107,603360.SH,化工,244172.2080,3.2012,-0.0046
20190107,603458.SH,建筑装饰,396809.5952,1.8711,0.0158
20190107,603528.SH,计算机,410743.9500,2.8477,0.0616
20190107,603585.SH,化工,380160.0000,2.2710,-0.0140
20190107,603596.SH,汽车,841227.0990,4.4466,-0.0594
20190107,603612.SH,化工,411689.2626,1.7180,-0.0163
20190107,603629.SH,电子,347500.0000,3.7681,
20190107,603668.SH,农林牧渔,222128.9787,2.4814,-0.0263
20190107,603688.SH,化工,385867.3104,2.8210,0.0875
20190107,603722.SH,化工,192040.5000,3.7118,-0.0771
20190107,603738.SH,电子,213644.7666,3.5344,0.0136
20190107,603787.SH,汽车,196860.0000,2.0906,-0.0021
20190107,603859.SH,计算机,220987.7600,3.2635,0.0530
20190107,603887.SH,计算机,210387.8000,2.5457,-0.0221
20190107,603922.SH,汽车,202880.0000,1.7956,-0.1658
20190107,603977.SH,化工,279732.2957,1.5264,-0.0857
20190107,603985.SH,电气设备,218920.0000,2.0463,0.0478
20190108,600099.SH,汽车,131472.0000,2.7925,-0.0683
20190108,600110.SH,电气设备,477379.5203,2.2911,-0.0674
20190108,600114.SH,机械设备,416377.0932,1.5779,-0.0515
20190108,600148.SH,汽车,216095.6192,5.3032,-0.0052
20190108,600150.SH,国防军工,1890777.3445,1.2674,0.0554
20190108,600166.SH,汽车,1207293.7635,0.7103,0.0056
20190108,600170.SH,建筑装饰,2804885.2843,1.1882,0.0570
20190108,600172.SH,机械设备,500471.7976,1.0260,-0.1102
20190108,600182.SH,汽车,550460.0000,6.1177,-0.0386
20190108,600186.SH,食品饮料,208156.7650,,-0.0667
20190108,600198.SH,通信,602480.0864,,0.0164
20190108,600218.SH,汽车,176264.8900,0.9120,-0.0402
20190108,600262.SH,机械设备,313820.0000,2.8229,0.0005
20190108,600271.SH,计算机,4576199.1584,4.6108,0.0613
20190108,600302.SH,机械设备,155704.4118,1.3225,0.0204
20190108,600303.SH,汽车,279700.1434,0.9413,-0.1191
20190108,600325.SH,房地产,1344900.2287,1.0834,0.0359
20190108,600326.SH,建筑材料,606634.5415,2.0347,-0.0043
20190108,600343.SH,机械设备,559706.9672,2.5510,0.0379
20190108,600382.SH,钢铁,369258.3709,0.6880,-0.0991
20190108,600419.SH,食品饮料,286646.3545,3.1453,-0.0254
20190108,600421.SH,机械设备,140049.6000,1096.2306,-0.0205
20190108,600435.SH,国防军工,1221242.4000,5.8619,0.0663
20190108,600444.SH,机械设备,143200.6495,2.6324,-0.0336
20190108,600480.SH,汽车,376798.7598,0.9598,-0.0213
20190108,600482.SH,电气设备,3782648.0909,1.4602,0.0041
20190108,600502.SH,建筑装饰,645435.1020,0.9793,-0.0554
20190108,600512.SH,建筑装饰,369346.5542,0.8701,-0.0086
20190108,600517.SH,非银金融,532973.9544,1.6377,0.1039
20190108,600520.SH,机械设备,207860.1600,4.8617,-0.0995
20190108,600530.SH,食品饮料,356460.0000,2.3633,-0.0986
20190108,600536.SH,计算机,1091005.4971,5.9143,-0.0978
20190108,600538.SH,医药生物,195977.3001,2.9994,0.0072
20190108,600545.SH,机械设备,1412082.6813,5.0776,0.0027
20190108,600558.SH,机械设备,308776.0619,1.6028,-0.0143
20190108,600560.SH,机械设备,186743.9925,2.4787,0.0664
20190108,600562.SH,国防军工,874402.7602,4.9466,-0.0071
20190108,600590.SH,国防军工,516314.0753,1.3489,0.0223
20190108,600592.SH,机械设备,250120.5354,1.3678,0.0738
20190108,600610.SH,化工,234609.1385,176.1958,0.2033
20190108,600667.SH,建筑装饰,1137342.6961,1.8255,-0.0459
20190108,600679.SH,汽车,424722.0880,3.1434,-0.0613
20190108,600699.SH,汽车,2088435.8000,1.4560,-0.0558
20190108,600728.SH,计算机,1147722.0561,3.4849,-0.0910
20190108,600743.SH,房地产,605294.0255,0.8203,0.0157
20190108,600756.SH,计算机,504945.8572,2.2779,-0.0377
20190108,600815.SH,机械设备,298239.6666,6.7854,-0.0281
20190108,600820.SH,建筑装饰,2106544.3830,1.0577,0.1395
20190108,600841.SH,汽车,592815.8437,1.6002,-0.0880
20190108,600845.SH,计算机,2002016.5959,3.1015,0.0463
20190108,600873.SH,化工,1333407.0913,1.5102,0.0214
20190108,600877.SH,电子,320273.4306,,0.0065
20190108,600883.SH,农林牧渔,152040.6720,2.2973,-0.0487
20190108,600893.SH,国防军工,5075649.0792,1.9432,-0.0441
20190108,600903.SH,公用事业,1851176.6475,7.9742,-0.0481
20190108,600929.SH,化工,752555.9414,3.2077,-0.0203
20190108,600960.SH,汽车,349789.7106,0.6854,-0.1046
20190108,600990.SH,国防军工,571930.5422,2.6880,-0.0069
20190108,601058.SH,汽车,645649.1128,1.0009,0.0084
20190108,601068.SH,建筑装饰,1630445.7335,1.9286,-0.0108
20190108,601186.SH,建筑装饰,15168347.8555,1.0527,-0.0106
20190108,601326.SH,交通运输,1804734.0760,1.2825,-0.0122
20190108,601500.SH,汽车,487762.7060,1.8497,-0.0615
20190108,601519.SH,计算机,695695.0000,5.1783,-0.0331
20190108,601633.SH,汽车,5184288.7920,1.0104,-0.0533
20190108,601668.SH,建筑装饰,24015519.7883,1.1192,-0.0370
20190108,601669.SH,建筑装饰,7771909.7922,0.9999,0.0518
